asset_id,name,asset_type,environment,owner,security_owner,engineering_owner,psirt_owner,ip_addresses,domains,ports,technologies,product_family,product_name,product_line,component_name,component_type,component_version,firmware_version,driver_branch,sdk_version,container_image,suppliers,dependencies,sbom_id,purl,cpe,deployment_model,exposure,reachable_from,trust_boundary,required_privilege,customer_exposure,internet_facing,multi_tenant,cloud_relevant,telemetry_sources,detection_available,mitigation_available,patch_status,supported_status,criticality,tags
asset-001,Public customer portal,web_application,production,Digital Platform Team,AppSec,Web Engineering,PSIRT,"203.0.113.10","portal.example.com","443;80","nginx;nodejs;react;postgresql",SaaS Platform,Customer Portal,Enterprise Web,frontend-web,cloud_service,5.8.0,,,"node-20",ghcr.io/example/customer-portal:5.8.0,"internal;cloud-provider","react;vite;nginx",sbom-portal-2026-07,"pkg:docker/ghcr.io/example/customer-portal@5.8.0","cpe:2.3:a:example:customer_portal:5.8.0:*:*:*:*:*:*:*",saas,external_internet,public_internet,network_to_application,none,external_customer,true,true,true,"nginx_access;waf;edr;siem;application_json",yes,yes,patched,supported,critical,"asset:web;sector:technology;region:global;exposure:internet;criticality:critical;telemetry:waf"
asset-002,Public REST API gateway,api_service,production,API Platform Team,AppSec,API Engineering,PSIRT,"203.0.113.11","api.example.com","443","nginx;fastapi;postgresql;redis",SaaS Platform,API Gateway,Enterprise API,api-backend,cloud_service,5.8.0,,,"python-3.12",ghcr.io/example/api-gateway:5.8.0,"internal;cloud-provider","fastapi;sqlalchemy;redis",sbom-api-2026-07,"pkg:docker/ghcr.io/example/api-gateway@5.8.0","cpe:2.3:a:example:api_gateway:5.8.0:*:*:*:*:*:*:*",saas,external_internet,public_internet,network_to_application,none,external_customer,true,true,true,"nginx_access;application_json;auth_log;edr;siem",yes,yes,under_review,supported,critical,"asset:api;sector:technology;region:global;exposure:internet;auth:oidc"
asset-003,Primary PostgreSQL database,database,production,Database Team,Infrastructure Security,Data Platform,PSIRT,"10.20.10.15","","5432","postgresql;linux",Data Platform,Primary Database,Core Data,postgres-primary,cloud_service,16.4,,,"postgres-16",postgres:16.4,"postgresql-community","openssl;glibc",sbom-db-2026-07,"pkg:docker/postgres@16.4","cpe:2.3:a:postgresql:postgresql:16.4:*:*:*:*:*:*:*",private_cloud,internal_only,application_subnet,application_to_database,service_account,internal_service,false,false,false,"postgres_audit;linux_auth;edr;siem",yes,yes,patched,supported,high,"asset:database;data:customer;criticality:high;telemetry:audit"
asset-004,Redis cache cluster,cache_service,production,Platform Team,Infrastructure Security,Platform Engineering,PSIRT,"10.20.10.20","","6379","redis;linux",Data Platform,Redis Cache,Core Data,redis-cache,cloud_service,7.4,,,"redis-7",redis:7.4,"redis-community","openssl;jemalloc",sbom-redis-2026-07,"pkg:docker/redis@7.4","cpe:2.3:a:redis:redis:7.4:*:*:*:*:*:*:*",private_cloud,internal_only,application_subnet,application_to_cache,service_account,internal_service,false,false,false,"redis_log;linux_auth;edr;siem",partial,yes,patched,supported,medium,"asset:cache;criticality:medium;telemetry:service-log"
asset-005,Analyst Windows workstation,endpoint,production,SOC Team,Endpoint Security,IT Engineering,PSIRT,"10.30.40.25","","3389;5985","windows;sysmon;powershell;defender",Endpoint Fleet,Analyst Workstation,Corporate IT,windows-endpoint,management_interface,Windows 11 24H2,,,"windows-11",,"microsoft","defender;sysmon;powershell",sbom-endpoint-2026-07,,"cpe:2.3:o:microsoft:windows_11:24h2:*:*:*:*:*:*:*",managed_endpoint,internal_user_network,corporate_network,user_to_kernel,user,employee,false,false,false,"windows_security;sysmon;defender_edr;powershell_4104",yes,yes,patched,supported,high,"asset:endpoint;os:windows;telemetry:sysmon;identity:analyst"
asset-006,Linux build runner,ci_runner,production,Build Engineering,Product Security,Build Engineering,PSIRT,"10.40.10.50","","22;443","linux;docker;github-actions;git",Build Platform,CI Runner,Supply Chain,build-runner,cloud_service,2026.07,,,"docker-27",ghcr.io/example/build-runner:2026.07,"internal;github","docker;git;python;node",sbom-runner-2026-07,"pkg:docker/ghcr.io/example/build-runner@2026.07","cpe:2.3:a:example:build_runner:2026.07:*:*:*:*:*:*:*",private_cloud,internal_only,build_network,supplier_to_build_pipeline,developer_token,internal_build,false,false,true,"linux_auditd;edr;ci_job_log;docker_events;siem",yes,yes,under_review,supported,critical,"asset:ci;sector:technology;supply-chain:build;telemetry:auditd"
asset-007,Production Kubernetes cluster,container_orchestrator,production,Platform SRE,Cloud Security,Platform Engineering,PSIRT,"10.50.0.10","k8s.example.internal","443;6443","kubernetes;containerd;calico;helm",Cloud Platform,Kubernetes Runtime,Container Platform,k8s-control-plane,cloud_service,1.31,,,"kubernetes-1.31",,"cncf","containerd;etcd;calico",sbom-k8s-2026-07,,"cpe:2.3:a:kubernetes:kubernetes:1.31:*:*:*:*:*:*:*",private_cloud,internal_admin,admin_vpn,workload_to_cluster_api,admin,internal_platform,false,true,true,"kubernetes_audit;container_runtime;cloudtrail;edr;siem",yes,yes,patched,supported,critical,"asset:kubernetes;telemetry:k8s-audit;criticality:critical"
asset-008,Container image scanner,security_tool,production,Product Security,Product Security,Security Engineering,PSIRT,"10.40.10.70","scanner.example.internal","443","trivy;grype;docker;postgresql",Security Tooling,Image Scanner,Product Security,image-scanner,container_image,2026.07,,,"trivy-0.65",ghcr.io/example/image-scanner:2026.07,"aquasecurity;anchore","trivy;grype;syft",sbom-scanner-2026-07,"pkg:docker/ghcr.io/example/image-scanner@2026.07","cpe:2.3:a:example:image_scanner:2026.07:*:*:*:*:*:*:*",private_cloud,internal_only,build_network,supplier_to_build_pipeline,service_account,internal_build,false,false,true,"scanner_json;docker_events;siem",yes,yes,patched,supported,high,"asset:security-tool;supply-chain:scanner;telemetry:scanner"
asset-009,Customer VPN concentrator,network_device,production,Network Team,Network Security,Network Engineering,PSIRT,"198.51.100.20","vpn.example.com","443;500;4500","vpn;ipsec;ssl-vpn",Network Edge,VPN Gateway,Remote Access,vpn-gateway,management_interface,12.4.2,12.4.2,,,,"network-vendor","openssl;strongswan",sbom-vpn-2026-07,,"cpe:2.3:a:network_vendor:vpn_gateway:12.4.2:*:*:*:*:*:*:*",appliance,external_internet,public_internet,network_to_management_plane,valid_user,employee,true,false,false,"vpn_auth;firewall_traffic;netflow;siem",yes,yes,patch_available,supported,critical,"asset:vpn;exposure:internet;identity:remote-access;telemetry:vpn"
asset-010,Perimeter firewall,firewall,production,Network Team,Network Security,Network Engineering,PSIRT,"198.51.100.1","","443;22","firewall;ips;vpn",Network Edge,Firewall Cluster,Network Security,edge-firewall,management_interface,11.2.4,11.2.4,,,,"firewall-vendor","threat-signatures;url-filtering",sbom-fw-2026-07,,"cpe:2.3:a:firewall_vendor:firewall_os:11.2.4:*:*:*:*:*:*:*",appliance,external_internet,public_internet,network_to_management_plane,admin,external_customer,true,false,false,"pan_traffic;pan_threat;firewall_system;siem",yes,yes,patched,supported,critical,"asset:firewall;telemetry:firewall;exposure:internet"
