component_id,product_id,component_name,component_type,component_version,firmware_version,driver_branch,sdk_version,container_image,repository,build_system,trust_boundary,privilege_level,attack_surface,owner,tags
comp-gpu-kernel-driver,prod-gpu-driver,nvidia-kernel-driver,kernel_driver,555.42,,R555,,,"git.example.internal/gpu/kernel-driver",bazel,user_to_kernel,kernel,"ioctl;device-file;kernel-module",Driver Engineering,"telemetry:kernel_log;telemetry:edr;requires:signed-driver"
comp-gpu-user-driver,prod-gpu-driver,nvidia-user-mode-driver,user_mode_driver,555.42,,R555,,,"git.example.internal/gpu/user-driver",bazel,user_to_kernel,user,"dll-load;shared-library;api-call",Driver Engineering,"telemetry:process;telemetry:module_load"
comp-cuda-runtime,prod-cuda,libcuda,sdk_library,12.6,,R555,12.6,,"git.example.internal/cuda/runtime",cmake,workload_to_gpu_memory,user,"library-api;gpu-memory",CUDA Engineering,"telemetry:application_log;dependency:gpu-driver"
comp-cuda-compiler,prod-cuda,nvcc-compiler,sdk_library,12.6,,,12.6,,"git.example.internal/cuda/compiler",cmake,supplier_to_build_pipeline,user,"compiler-input;build-chain",CUDA Engineering,"supply-chain:compiler;telemetry:build_log"
comp-cudnn-lib,prod-cudnn,cuDNN runtime,sdk_library,9.3,,,12.6,,"git.example.internal/cudnn/runtime",cmake,workload_to_gpu_memory,user,"library-api;tensor-processing",Library Engineering,"dependency:cuda;telemetry:application_log"
comp-tensorrt-runtime,prod-tensorrt,TensorRT runtime,sdk_library,10.0,,,12.6,,"git.example.internal/tensorrt/runtime",cmake,workload_to_gpu_memory,user,"model-parser;plugin-load",Inference Engineering,"attack_surface:model-parser;telemetry:application_log"
comp-ngc-inference-image,prod-ngc-container,NGC inference container,container_image,24.06,,R555,12.6,nvcr.io/example/inference:24.06,git.example.internal/containers/inference,github-actions,container_to_host,container_user,"container-runtime;mounted-model;gpu-access",Container Engineering,"sbom:required;telemetry:container_runtime"
comp-jetson-bootloader,prod-jetson,Jetson bootloader,bootloader,36.4,36.4,,,,"git.example.internal/jetson/bootloader",yocto,host_to_firmware,boot_privileged,"secure-boot;boot-chain;ota",Jetson Engineering,"secure_boot:true;firmware:true;telemetry:ota_log"
comp-jetson-linux-kernel,prod-jetson,Jetson Linux kernel,kernel_driver,36.4,36.4,,,,"git.example.internal/jetson/kernel",yocto,user_to_kernel,kernel,"device-tree;kernel-module;driver",Jetson Engineering,"telemetry:kernel_log;firmware:true"
comp-bluefield-fw,prod-bluefield,BlueField firmware,dpu_firmware,4.8.1,4.8.1,,2.9,,"git.example.internal/bluefield/firmware",yocto,host_to_firmware,firmware_admin,"pcie;embedded-linux;management-plane",Firmware Engineering,"firmware:true;telemetry:dpu_telemetry"
comp-bluefield-mgmt,prod-bluefield,BlueField management service,management_interface,4.8.1,4.8.1,,2.9,,"git.example.internal/bluefield/mgmt",cmake,network_to_management_plane,admin,"https-api;ssh;redfish-like-api",Firmware Engineering,"management:true;telemetry:firmware_log"
comp-connectx-fw,prod-connectx,ConnectX firmware,nic_firmware,28.40.1000,28.40.1000,,,,"git.example.internal/connectx/firmware",cmake,host_to_firmware,firmware_admin,"pcie;rdma;nic-management",Firmware Engineering,"firmware:true;telemetry:nic_telemetry"
comp-doca-runtime,prod-doca,DOCA runtime,sdk_library,2.9,,,2.9,,"git.example.internal/doca/runtime",cmake,host_to_firmware,user,"dpu-api;network-offload",DOCA Engineering,"dependency:bluefield;telemetry:application_log"
comp-vgpu-manager,prod-vgpu,vGPU manager,kernel_driver,17.4,,R555,,,"git.example.internal/vgpu/manager",bazel,guest_to_host,kernel,"hypervisor-api;gpu-scheduling",vGPU Engineering,"trust_boundary:guest_to_host;telemetry:hypervisor_log"
comp-bmc-redfish,prod-bmc,BMC Redfish service,bmc_component,3.2.7,3.2.7,,,,"git.example.internal/bmc/redfish",yocto,network_to_management_plane,admin,"redfish-api;ipmi;web-ui",Hardware Engineering,"management:true;firmware:true;telemetry:redfish_log"
