dependency_id,component_id,package_name,package_version,package_type,purl,cpe,supplier,license,source_repository,sbom_id,used_in_build,used_at_runtime,internet_reachable,customer_shipped,criticality,tags
dep-001,comp-ngc-inference-image,openssl,3.0.13,deb,pkg:deb/ubuntu/openssl@3.0.13,cpe:2.3:a:openssl:openssl:3.0.13:*:*:*:*:*:*:*,OpenSSL,Apache-2.0,https://github.com/openssl/openssl,sbom-ngc-24-06,true,true,false,true,high,"crypto:true;scanner:trivy;runtime:true"
dep-002,comp-ngc-inference-image,python,3.11.9,deb,pkg:deb/ubuntu/python3@3.11.9,cpe:2.3:a:python:python:3.11.9:*:*:*:*:*:*:*,Python Software Foundation,PSF-2.0,https://github.com/python/cpython,sbom-ngc-24-06,false,true,false,true,medium,"runtime:true;scanner:grype"
dep-003,comp-ngc-inference-image,libxml2,2.10.3,deb,pkg:deb/ubuntu/libxml2@2.10.3,cpe:2.3:a:xmlsoft:libxml2:2.10.3:*:*:*:*:*:*:*,GNOME,MIT,https://gitlab.gnome.org/GNOME/libxml2,sbom-ngc-24-06,false,true,false,true,medium,"parser:true;runtime:true"
dep-004,comp-cuda-runtime,zlib,1.3.1,source,pkg:generic/zlib@1.3.1,cpe:2.3:a:zlib:zlib:1.3.1:*:*:*:*:*:*:*,zlib-community,Zlib,https://github.com/madler/zlib,sbom-cuda-12-6,true,true,false,true,medium,"oss:true;compression:true"
dep-005,comp-cuda-compiler,llvm,18.1.8,source,pkg:generic/llvm@18.1.8,cpe:2.3:a:llvm:llvm:18.1.8:*:*:*:*:*:*:*,LLVM Project,Apache-2.0,https://github.com/llvm/llvm-project,sbom-cuda-compiler-12-6,true,true,false,true,high,"compiler:true;supply-chain:build"
dep-006,comp-tensorrt-runtime,protobuf,27.2,source,pkg:generic/protobuf@27.2,cpe:2.3:a:google:protobuf:27.2:*:*:*:*:*:*:*,Google,BSD-3-Clause,https://github.com/protocolbuffers/protobuf,sbom-tensorrt-10,true,true,false,true,medium,"parser:true;model-format:true"
dep-007,comp-tensorrt-runtime,onnx,1.16.1,pypi,pkg:pypi/onnx@1.16.1,,ONNX,Apache-2.0,https://github.com/onnx/onnx,sbom-tensorrt-10,true,true,false,true,medium,"model-parser:true;python:true"
dep-008,comp-bluefield-fw,busybox,1.36.1,source,pkg:generic/busybox@1.36.1,cpe:2.3:a:busybox:busybox:1.36.1:*:*:*:*:*:*:*,BusyBox,GPL-2.0,https://busybox.net,sbom-bluefield-fw-4-8,true,true,false,true,high,"firmware:true;embedded-linux:true"
dep-009,comp-bluefield-fw,dropbear,2024.84,source,pkg:generic/dropbear@2024.84,cpe:2.3:a:dropbear_ssh_project:dropbear_ssh:2024.84:*:*:*:*:*:*:*,Dropbear Project,MIT,https://github.com/mkj/dropbear,sbom-bluefield-fw-4-8,true,true,true,true,critical,"ssh:true;management:true;firmware:true"
dep-010,comp-bluefield-mgmt,lighttpd,1.4.76,source,pkg:generic/lighttpd@1.4.76,cpe:2.3:a:lighttpd:lighttpd:1.4.76:*:*:*:*:*:*:*,lighttpd Project,BSD-3-Clause,https://github.com/lighttpd/lighttpd1.4,sbom-bluefield-mgmt-4-8,true,true,true,true,critical,"web:true;management:true"
dep-011,comp-connectx-fw,uefi-edk2,2024.05,source,pkg:generic/edk2@2024.05,cpe:2.3:a:tianocore:edk2:2024.05:*:*:*:*:*:*:*,TianoCore,BSD-2-Clause,https://github.com/tianocore/edk2,sbom-connectx-fw-28-40,true,true,false,true,high,"firmware:true;uefi:true"
dep-012,comp-bmc-redfish,redfish-service,3.2.7,source,pkg:generic/redfish-service@3.2.7,,Hardware Vendor,Proprietary,git.example.internal/bmc/redfish,sbom-bmc-3-2,true,true,true,true,critical,"bmc:true;management:true;redfish:true"
dep-013,comp-bmc-redfish,openssl,1.1.1w,source,pkg:generic/openssl@1.1.1w,cpe:2.3:a:openssl:openssl:1.1.1w:*:*:*:*:*:*:*,OpenSSL,OpenSSL,https://github.com/openssl/openssl,sbom-bmc-3-2,true,true,true,true,critical,"crypto:true;bmc:true;legacy:true"
dep-014,comp-vgpu-manager,qemu,8.2.4,source,pkg:generic/qemu@8.2.4,cpe:2.3:a:qemu:qemu:8.2.4:*:*:*:*:*:*:*,QEMU Project,GPL-2.0,https://gitlab.com/qemu-project/qemu,sbom-vgpu-17-4,true,true,false,true,high,"virtualization:true;guest_to_host:true"
dep-015,comp-gpu-user-driver,curl,8.8.0,source,pkg:generic/curl@8.8.0,cpe:2.3:a:haxx:libcurl:8.8.0:*:*:*:*:*:*:*,curl Project,curl,https://github.com/curl/curl,sbom-driver-555,true,true,false,true,medium,"network:true;runtime:true"
