exposure_id,product_id,component_id,deployment_model,environment,exposure_type,reachable_from,required_privilege,trust_boundary,customer_exposure,internet_facing,multi_tenant,cloud_relevant,firmware_persistence_possible,secure_boot_relevant,telemetry_sources,detection_available,mitigation_available,patch_status
exp-001,prod-gpu-driver,comp-gpu-kernel-driver,customer_host,production,local_privilege_boundary,local_user,user,user_to_kernel,customer_environment,false,true,true,false,true,"windows_security;sysmon;linux_auditd;kernel_log;edr",partial,yes,patch_available
exp-002,prod-gpu-driver,comp-gpu-user-driver,customer_host,production,local_library_load,local_user,user,user_to_kernel,customer_environment,false,true,true,false,false,"process_creation;module_load;edr;application_log",partial,yes,patched
exp-003,prod-cuda,comp-cuda-runtime,customer_host,production,gpu_memory_api,local_workload,user,workload_to_gpu_memory,customer_environment,false,true,true,false,false,"application_log;gpu_telemetry;edr",partial,yes,patched
exp-004,prod-cuda,comp-cuda-compiler,developer_workstation,production,build_pipeline_input,developer,user,supplier_to_build_pipeline,customer_build_environment,false,false,true,false,false,"build_log;compiler_log;file_integrity;edr",yes,yes,under_review
exp-005,prod-tensorrt,comp-tensorrt-runtime,customer_host,production,model_parser,model_file,user,workload_to_gpu_memory,customer_environment,false,true,true,false,false,"application_log;model_load_log;edr",partial,yes,patch_available
exp-006,prod-ngc-container,comp-ngc-inference-image,kubernetes,production,container_runtime,cluster_network,container_user,container_to_host,customer_environment,false,true,true,false,false,"kubernetes_audit;container_runtime;edr;image_scanner",yes,yes,patched
exp-007,prod-jetson,comp-jetson-bootloader,edge_device,production,boot_chain,physical_or_ota,admin,host_to_firmware,customer_environment,false,false,false,true,true,"ota_log;firmware_log;secure_boot_event",partial,yes,patch_available
exp-008,prod-jetson,comp-jetson-linux-kernel,edge_device,production,local_kernel_boundary,local_user,user,user_to_kernel,customer_environment,false,false,false,true,true,"kernel_log;auditd;device_log",partial,yes,patched
exp-009,prod-bluefield,comp-bluefield-fw,appliance,production,dpu_firmware_boundary,host_or_mgmt_network,admin,host_to_firmware,customer_environment,false,true,true,true,true,"dpu_telemetry;firmware_log;pcie_event;edr",partial,yes,patch_available
exp-010,prod-bluefield,comp-bluefield-mgmt,appliance,production,management_api,management_network,admin,network_to_management_plane,customer_environment,false,true,true,true,true,"firmware_log;management_api_log;netflow;siem",yes,yes,under_review
exp-011,prod-connectx,comp-connectx-fw,appliance,production,nic_firmware_boundary,host_network,admin,host_to_firmware,customer_environment,false,true,false,true,true,"nic_telemetry;firmware_log;netflow",partial,yes,patched
exp-012,prod-doca,comp-doca-runtime,customer_host,production,dpu_sdk_api,local_workload,user,host_to_firmware,customer_environment,false,true,true,false,false,"application_log;dpu_telemetry;edr",partial,yes,patched
exp-013,prod-vgpu,comp-vgpu-manager,virtualized_host,production,guest_to_host_boundary,guest_vm,user,guest_to_host,customer_environment,false,true,true,false,false,"hypervisor_log;windows_security;linux_auditd;edr",yes,yes,patch_available
exp-014,prod-bmc,comp-bmc-redfish,appliance,production,management_api,management_network,admin,network_to_management_plane,customer_environment,false,false,false,true,true,"redfish_log;ipmi_log;network_flow;siem",partial,yes,patch_available
exp-015,prod-bmc,comp-bmc-redfish,appliance,production,web_ui,management_network,admin,network_to_management_plane,customer_environment,false,false,false,true,true,"web_access_log;redfish_log;auth_log;siem",partial,yes,under_review
