asset_id,name,asset_type,environment,owner,ip_addresses,domains,ports,technologies,exposure,criticality,tags
asset-ps-001,Public NVIDIA support portal,web_application,production,Customer Support Platform,"203.0.113.10","support.example.com","443;80","nginx;react;nodejs;postgresql",internet,critical,"sector:technology;business:customer-support;data:customer;telemetry:nginx_access;telemetry:waf"
asset-ps-002,Product security API gateway,api_service,production,PSIRT Platform,"203.0.113.11","psirt-api.example.com","443","nginx;fastapi;postgresql;redis",internet,critical,"business:psirt;data:vulnerability-intake;telemetry:api_json;telemetry:auth_log"
asset-ps-003,Firmware signing service,build_service,production,Secure Build Engineering,"10.40.10.20","fw-signing.build.example.internal","443;22","linux;hsm;cosign;sigstore",internal,critical,"supply-chain:signing;trust_boundary:supplier_to_build_pipeline;telemetry:auditd;telemetry:hsm_log"
asset-ps-004,CI build runner pool,ci_runner,production,Build Engineering,"10.40.10.50","","22;443","linux;docker;github-actions;git",internal,critical,"supply-chain:build;telemetry:ci_job_log;telemetry:docker_events;telemetry:edr"
asset-ps-005,Artifact registry,artifact_registry,production,Build Engineering,"10.40.10.70","registry.build.example.internal","443","oci-registry;cosign;trivy",internal,critical,"supply-chain:artifact;telemetry:registry_audit;telemetry:cosign_log"
asset-ps-006,SBOM and dependency scanner,security_tool,production,Product Security,"10.40.10.80","scanner.psirt.example.internal","443","syft;grype;trivy;postgresql",internal,high,"supply-chain:dependency;telemetry:scanner_json;telemetry:postgres_audit"
asset-ps-007,GPU driver validation lab,lab_environment,staging,Driver Security Validation,"10.60.10.0/24","","22;3389;5985","windows;linux;nvidia-driver;cuda;sysmon",internal,high,"product:gpu-driver;telemetry:sysmon;telemetry:kernel_log;environment:validation"
asset-ps-008,CUDA SDK validation lab,lab_environment,staging,CUDA Security Validation,"10.60.20.0/24","","22;443","linux;cuda;python;containerd",internal,high,"product:cuda;telemetry:auditd;telemetry:container_runtime"
asset-ps-009,NGC container runtime cluster,container_orchestrator,production,AI Platform Security,"10.60.30.10","ngc-runtime.example.internal","443;6443","kubernetes;containerd;cuda;tensorrt",internal,critical,"product:ngc-container;telemetry:kubernetes_audit;telemetry:container_runtime"
asset-ps-010,BlueField DPU test fabric,dpu_lab,staging,Networking Product Security,"10.70.0.0/24","","22;443;8443","bluefield;dpu;doca;linux",internal,critical,"product:bluefield;firmware:true;telemetry:dpu_telemetry;telemetry:firmware_log"
asset-ps-011,ConnectX NIC firmware fleet,nic_firmware_fleet,production,Networking Product Security,"10.70.10.0/24","","22;443","connectx;nic;firmware;ofed",internal,high,"product:connectx;firmware:true;telemetry:nic_telemetry;telemetry:netflow"
asset-ps-012,BMC management network,bmc_management,production,Hardware Platform Security,"10.80.10.0/24","bmc-mgmt.example.internal","443;623","bmc;redfish;ipmi",restricted_admin,critical,"firmware:true;management:true;telemetry:redfish_log;telemetry:ipmi_log"
asset-ps-013,Jetson edge device fleet,edge_device_fleet,production,Edge Product Security,"10.90.20.0/24","","22;443","jetson;linux;cuda;firmware",third-party,high,"product:jetson;deployment:edge;telemetry:device_log;telemetry:ota_log"
asset-ps-014,Customer telemetry collector,agent_service,production,Telemetry Platform,"10.100.10.25","collector.example.internal","443;6514","otel;syslog;go",internal,high,"telemetry:syslog;telemetry:otel_trace;data:customer-telemetry"
asset-ps-015,Partner SFTP firmware intake,file_transfer_service,production,Partner Operations,"203.0.113.30","partner-drop.example.com","22","linux;openssh;sftp",internet,high,"third-party:partner;firmware:intake;telemetry:ssh_auth;telemetry:file_integrity"
