asset_id,name,asset_type,environment,owner,ip_addresses,domains,ports,technologies,exposure,criticality,tags
asset-0001,customer-portal,web-app,prod,Digital,203.0.113.10,portal.example.com,"80;443;8443","nginx;nodejs;postgres",internet,critical,"customer-data;pci"
asset-0002,vpn-gateway,remote-access,prod,IT,198.51.100.20,vpn.example.com,"443;500;4500","vpn;sso;mfa",internet,high,"remote-access;identity-edge"
asset-0003,ad-dc-01,identity,prod,IT,10.10.1.10,ad01.corp.local,"53;88;135;389;445","active-directory;windows;kerberos;ldap",internal,critical,"identity;tier-0"
asset-0004,postgres-payments,database,prod,Payments,10.20.5.15,,"5432","postgresql;linux",internal,critical,"database;payments;customer-data"
asset-0005,k8s-api-prod,container-platform,prod,Platform,10.30.0.10,k8s-api.corp.local,"443;6443;10250","kubernetes;containerd;linux",internal,high,"containers;platform"
asset-0006,ci-runner-01,ci-cd,prod,Platform,10.40.2.50,ci-runner.corp.local,"22;443","gitlab-runner;docker;legacy",internal,high,"pipeline;build;secrets"
asset-0007,public-api-gateway,api-gateway,prod,API Team,203.0.113.35,api.example.com,"80;443","nginx;oauth2;rate-limit",internet,critical,"api;customer-facing"
asset-0008,backup-repository,backup-storage,prod,Infrastructure,10.50.8.20,backup.corp.local,"22;443;2049","linux;nfs;backup;storage",internal,critical,"backup;storage;secrets"
asset-0009,legacy-file-server,file-server,prod,IT,10.10.8.25,files01.corp.local,"445;139;3389","windows-server-2012;smb;legacy",internal,high,"legacy;file-share"
asset-0010,third-party-crm,saas,prod,Sales,,crm.vendor.example,"443","saas;sso;okta",third-party,high,"vendor;customer-data"
